h_mean,s_mean,v_mean,label_asli,prediksi,confidence,status,lighting,angle,bg,lux,img_path
112.47714518229166,22.75530924479167,125.130439453125,10k,10k,100.0,Benar,yellow,birds-eye,putih,1379,images\uji_10k_yellow_birds-eye_putih_20250809_092511.jpg
116.13831380208332,27.5818359375,120.29104817708334,10k,10k,100.0,Benar,yellow,birds-eye,putih,1378,images\uji_10k_yellow_birds-eye_putih_20250809_092717.jpg
113.42611979166666,21.266962890625,122.44278645833332,10k,10k,100.0,Benar,yellow,birds-eye,putih,1379,images\uji_10k_yellow_birds-eye_putih_20250809_092823.jpg
123.43207356770831,31.39925130208333,125.12881510416666,10k,10k,100.0,Benar,yellow,birds-eye,putih,1378,images\uji_10k_yellow_birds-eye_putih_20250809_092920.jpg
115.319814453125,25.801240234375,127.864638671875,10k,10k,100.0,Benar,yellow,birds-eye,putih,1379,images\uji_10k_yellow_birds-eye_putih_20250809_093047.jpg
95.779951171875,32.91929361979167,98.60453450520832,10k,470,100.0,Salah,yellow,birds-eye,putih,1380,images\uji_10k_yellow_birds-eye_putih_20250809_093202.jpg
102.56161458333334,27.510517578125,120.94786458333331,10k,10k,100.0,Benar,yellow,birds-eye,putih,1378,images\uji_10k_yellow_birds-eye_putih_20250809_093320.jpg
111.018720703125,23.179775390625,102.70944010416666,10k,10k,100.0,Benar,yellow,birds-eye,putih,1378,images\uji_10k_yellow_birds-eye_putih_20250809_093436.jpg
115.74494791666666,24.134619140625,111.143095703125,10k,10k,100.0,Benar,yellow,birds-eye,putih,1377,images\uji_10k_yellow_birds-eye_putih_20250809_093615.jpg
116.39215169270834,27.861555989583334,117.72116861979168,10k,10k,100.0,Benar,yellow,birds-eye,putih,1379,images\uji_10k_yellow_birds-eye_putih_20250809_093714.jpg
122.10375651041667,14.429332682291667,170.17296223958334,10k,10k,100.0,Benar,yellow,high-angle,putih,1379,images\uji_10k_yellow_high-angle_putih_20250809_093907.jpg
120.36725260416668,15.231318359375,164.46238932291666,10k,680,100.0,Salah,yellow,high-angle,putih,1378,images\uji_10k_yellow_high-angle_putih_20250809_094026.jpg
134.5105403645833,12.190979817708332,167.33949869791667,10k,10k,100.0,Benar,yellow,high-angle,putih,1379,images\uji_10k_yellow_high-angle_putih_20250809_094115.jpg
130.440107421875,15.2296875,162.53228515625,10k,470,100.0,Salah,yellow,high-angle,putih,1378,images\uji_10k_yellow_high-angle_putih_20250809_094210.jpg
131.81334309895834,14.554449869791666,165.46711588541666,10k,470,100.0,Salah,yellow,high-angle,putih,1379,images\uji_10k_yellow_high-angle_putih_20250809_094356.jpg
131.98206380208333,15.606031901041666,155.775576171875,10k,470,100.0,Salah,yellow,high-angle,putih,1379,images\uji_10k_yellow_high-angle_putih_20250809_094509.jpg
127.68314778645832,15.002239583333331,162.83233723958332,10k,470,100.0,Salah,yellow,high-angle,putih,1378,images\uji_10k_yellow_high-angle_putih_20250809_094640.jpg
130.69839192708332,12.711910807291666,167.2672265625,10k,10k,100.0,Benar,yellow,high-angle,putih,1380,images\uji_10k_yellow_high-angle_putih_20250809_094753.jpg
125.53270182291666,16.39916015625,158.34001953125,10k,470,66.67,Salah,yellow,high-angle,putih,1379,images\uji_10k_yellow_high-angle_putih_20250809_095131.jpg
123.05701171875,15.708336588541666,167.68591471354168,10k,680,100.0,Salah,yellow,high-angle,putih,1378,images\uji_10k_yellow_high-angle_putih_20250809_095254.jpg
127.45645833333332,13.225852864583333,166.03802734375,10k,470,100.0,Salah,yellow,eye-level,putih,1379,images\uji_10k_yellow_eye-level_putih_20250809_095609.jpg
127.81628580729166,12.183277994791666,168.04906901041667,10k,10k,100.0,benar,yellow,eye-level,putih,1379,C:\Users\LENOVO\Desktop\resistor-reader\dataset\uji_coba\images\uji_10k_yellow_eye-level_putih_20250809_101452.jpg
125.76252278645832,12.722542317708331,165.86189127604166,10k,10k,100.0,Benar,yellow,eye-level,putih,1379,C:\Users\LENOVO\Desktop\resistor-reader\dataset\uji_coba\images\uji_10k_yellow_eye-level_putih_20250809_103452.jpg
127.25450520833331,12.580400390625,158.93188151041667,10k,470,100.0,Salah,yellow,eye-level,putih,1378,C:\Users\LENOVO\Desktop\resistor-reader\dataset\uji_coba\images\uji_10k_yellow_eye-level_putih_20250809_103605.jpg
127.05765625,13.159742838541666,165.52578776041668,10k,470,100.0,Salah,yellow,eye-level,putih,1380,C:\Users\LENOVO\Desktop\resistor-reader\dataset\uji_coba\images\uji_10k_yellow_eye-level_putih_20250809_103806.jpg
126.88889322916668,13.160126953125,157.99928385416666,10k,470,100.0,Salah,yellow,eye-level,putih,1378,C:\Users\LENOVO\Desktop\resistor-reader\dataset\uji_coba\images\uji_10k_yellow_eye-level_putih_20250809_103959.jpg
